	name	full_name	description	term_count	is_date	is_numerical	single_token	hierarchy	is_hidden	is_rangeable	is_truncatable	Example	
9	AFFL	Affiliation	Author's institutional affiliation and address	54159903	N	N	N	N	N				
0	ALL	All Fields	All terms from all searchable fields	232624308	N	N	N	N	N				
7	AUTH	Author	Author(s) of publication	20561322	N	N	Y	N	N				
25	COLN	Author - Corporate	Corporate Author of publication	266473	N	N	N	N	N				
32	FAUT	Author - First	First Author of publication	10957737	N	N	Y	N	N				
33	FULL	Author - Full	Full Author Name(s) of publication	14188929	N	N	Y	N	N				
48	AUID	Author - Identifier	Author Identifier	4825856	N	N	Y	N	N				
36	LAUT	Author - Last	Last Author of publication	9127459	N	N	Y	N	N				
45	AUCL	Author Cluster ID	Author Cluster ID	0	N	N	Y	N	Y				
41	BOOK	Book	ID of the book that contains the document	7044	N	N	Y	N	N				
50	COIS	Conflict of Interest Statements	Conflict of Interest Statements	274047	N	N	N	N	N				
30	CDAT	Date - Completion	Date of completion	11973	Y	N	Y	N	N				
40	CRDT	Date - Create	Date publication first accessible through Entrez	30739	Y	N	Y	N	N				
13	EDAT	Date - Entrez	Date publication first accessible through Entrez	39535	Y	N	Y	N	N				
21	MHDA	Date - MeSH	Date publication was indexed with MeSH terms	39392	Y	N	Y	N	N				
29	MDAT	Date - Modification	Date of last modification	6396	Y	N	Y	N	N				
12	PDAT	Date - Publication	Date of publication	40582	Y	N	Y	N	N			"2012/01/01[Date - Publication] : ""2017""[Date - Publication]"	"(""2012""[Date - Publication] : ""3000""[Date - Publication]) "
47	DSO	DSO	Additional text from the summary	406731	N	N	N	N	Y				
10	ECNO	EC/RN Number	EC number for enzyme or CAS registry number	106772	N	N	Y	N	N				
42	ED	Editor	Section's Editor	5419	N	N	Y	N	N				
38	EPDT	Electronic Publication Date	Date of Electronic publication	7833	Y	N	Y	N	Y				
46	EID	Extended PMID	Extended PMID	30622285	N	N	Y	N	Y				
2	FILT	Filter	Limits the records	5570	N	N	Y	N	N				
28	GRNT	Grant Number	NIH Grant Numbers	4959087	N	N	Y	N	N				
24	INVR	Investigator	Investigator	1780142	N	N	Y	N	N				
34	FINV	Investigator - Full	Full name of investigator	1038487	N	N	Y	N	N				
43	ISBN	ISBN	ISBN	4191	N	N	Y	N	N				
18	ISS	Issue	Issue number of publication	16886	N	N	Y	N	N				
8	JOUR	Journal	Journal abbreviation of publication	202757	N	N	Y	N	N				
17	LANG	Language	Language of publication	59	N	N	Y	N	N				
39	LID	Location ID	ELocation ID	23590309	N	N	Y	N	N				
6	MAJR	MeSH Major Topic	MeSH terms of major importance to publication	552433	N	N	Y	Y	N				
19	SUBH	MeSH Subheading	Additional specificity for MeSH term	76	N	N	Y	Y	N				
5	MESH	MeSH Terms	Medical Subject Headings assigned to publication	614178	N	N	Y	Y	N				
23	OTRM	Other Term	Other terms associated with publication	4458724	N	N	N	N	N				
15	PAGE	Pagination	Page number(s) of publication	3794031	N	N	Y	N	N				
27	PAPX	Pharmacological Action	MeSH pharmacological action pre-explosions	542	N	N	Y	N	N				
26	CNTY	Place of Publication	Country of publication	230	N	N	N	N	Y				
37	PPDT	Print Publication Date	Date of print publication	40566	Y	N	Y	N	Y				
16	PTYP	Publication Type	"Type of publication (e.g., review)"	88	N	N	Y	Y	N				
44	PUBN	Publisher	Publisher's name	609	N	N	Y	N	N				
31	PID	Publisher ID	Publisher ID	32116209	N	N	Y	N	Y				
20	SI	Secondary Source ID	Cross-reference from publication to other databases	7819796	N	N	Y	N	N				
49	PS	Subject - Personal Name	Personal Name as Subject	551218	N	N	Y	N	N				
11	SUBS	Supplementary Concept	CAS chemical name or MEDLINE Substance Name	263002	N	N	Y	N	N				
4	WORD	Text Word	Free text associated with publication	64835403	N	N	N	N	N				
3	TITL	Title	Words in title of publication	17607301	N	N	N	N	N				
22	TIAB	Title/Abstract	Free text associated with Abstract/Title	54273673	N	N	N	N	N				
35	TT	Transliterated Title	Words in transliterated title of publication	2337896	N	N	N	N	N				
1	UID	UID	Unique number assigned to publication	0	N	Y	Y	N	Y				
14	VOL	Volume	Volume number of publication	13644	N	N	Y	N	N				
